,0
0,4.334829702617304
1,4.8558910250215
2,4.487068819572748
3,4.331153440612288
4,5.131208706461727
5,4.221023383294725
6,4.175709002144555
7,5.5725014510071444
8,4.657674884913989
9,5.038282265054816
10,4.295357976919284
11,5.8082585728651335
12,5.430678771168266
13,4.6743392907616235
14,4.763868189346241
15,4.30049230059227
16,4.466623269514013
17,5.159612872663954
18,5.707145495164894
19,4.401616748493543
20,4.206925008978269
21,3.973164975469561
22,4.256870414077251
23,4.954427191048099
24,4.224827659772426
25,4.719979640295386
26,3.9743609251728884
27,4.638940556415284
28,4.677564995783307
29,5.223699626765795
30,4.585311383158809
31,5.60178078559224
32,6.03927619629582
33,4.143986932854146
34,5.035779103507558
35,4.073812093499102
36,4.346876081653649
37,4.705764595406035
38,4.180427493851821
39,5.034915561768363
40,5.168693606326124
41,4.4058105964642635
42,4.450009257771533
43,4.37761888673347
44,4.320810439831633
45,5.124691340826535
46,4.272888002070962
47,5.602541848577984
48,4.252610181588694
49,4.212992910578383
50,4.058310482843287
51,4.980529391097856
52,4.824321072584488
53,4.208576005220724
54,4.883304099749769
55,4.069111264891807
56,4.392055047174614
57,5.969734930860468
58,4.857284112435057
59,4.950088915502205
60,4.797857555374101
61,5.078107985338365
62,5.174853717869843
63,4.430674939666108
64,4.3905372610693005
65,4.6567456489054235
66,5.007216425342183
67,4.808395262510956
68,4.211671139562998
69,5.1718985588202715
70,4.420604270585329
71,5.267499507479994
72,5.117738207537364
73,5.034915561768363
74,4.316037491060165
75,4.396533364344814
76,4.618019136819558
77,4.683525920748791
78,4.884731271443752
79,6.140542740303976
80,5.9970125590723615
81,5.576026897362891
82,6.082706386444717
83,4.171064704165107
84,5.364683870453336
85,4.210923343272006
86,5.211683623138976
87,5.601446043942241
88,5.090143195255681
89,4.465843240242509
90,5.153502642534809
91,5.248538247533332
92,5.135699590886678
93,4.382920801213184
94,4.223145245980364
95,4.655983202889047
96,5.134675645461528
97,4.78743526898258
98,4.388674049170063
